,Pinophyta,Abies,LUCA,cell_ids,Dist.to.road_m,Elevation_m,MaxTemp_m,MeanTemp_m,MinTemp_m,Population_m,Precipitation_m,SolarRadiation_m,VaporPres_m,WindSp_m,Longitude,Latitude,wwf_mhtnum,wwf_mhtnam,covid,name,cov_id,tipos,geometry
3707,0.0,0.0,1.0,247405,14068.2025781,7.0,29.8706018439,25.3263888889,29.8587962963,7.59519959821,122.888888889,16425.9976852,2.58333333333,3.63888888889,-95.838563416,18.674389801,14.0,Mangroves,40186,PASTIZAL CULTIVADO,10539.0,Manglar,POINT (-95.838563416 18.674389801)
3708,0.0,0.0,0.0,247133,4430.10119141,38.0,31.1296297488,25.6643518519,31.1875,19.9177828365,115.037037037,15981.2453704,2.58333333333,2.66435185185,-96.230563416,18.723389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,69876,AGRICULTURA DE TEMPORAL ANUAL,10565.0,Agricultura de Temporal,POINT (-96.230563416 18.723389801)
3709,0.0,0.0,1.0,245653,1300.0,22.7777777778,30.2116664622,25.2456140351,30.2543859649,102.518841553,126.255555556,16454.7805556,2.58333333333,3.64035087719,-95.988468964,19.0170100666,1.0,Tropical and Subtropical Moist Broadleaf Forests,40677,PASTIZAL CULTIVADO,10015.0,Pastizal Cultivado,POINT (-95.98846896400001 19.0170100666)
3710,0.0,0.0,1.0,242900,7277.34476563,2614.66666667,21.04328703,13.5277777778,21.0925925926,54.3191654682,65.7152777778,18001.8680556,1.0,2.18287037037,-98.239563416,19.556389801,3.0,Tropical and Subtropical Coniferous Forests,82535,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,8684.0,Agricultura de Temporal,POINT (-98.239563416 19.556389801)
3711,0.0,0.0,1.0,238714,2123.85763184,335.0,27.2854166472,22.2939814815,27.3240740741,70.322057618,156.55787037,17326.2013889,2.41203703704,1.6087962963,-97.749563416,20.389389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,42011,PASTIZAL CULTIVADO,8978.0,Selva Alta Perennifolia,POINT (-97.749563416 20.389389801)
3712,1.0,0.0,1.0,237701,5301.66210937,1380.33333333,25.1460647936,18.9791666667,25.1898148148,21.7374033663,130.708333333,18056.9166667,1.61111111111,1.71064814815,-98.435563416,20.585389801,3.0,Tropical and Subtropical Coniferous Forests,6443,BOSQUE MESÓFILO DE MONTAÑA,8747.0,Bosque de Pino,POINT (-98.43556341599999 20.585389801)
3713,0.0,0.0,1.0,235069,2532.6973877,118.555555556,29.4576389701,23.9537037037,29.5532407407,16.88157977,115.414351852,17643.3402778,2.47916666667,1.33333333333,-98.141563416,21.124389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,42818,PASTIZAL CULTIVADO,7291.0,Pastizal Cultivado,POINT (-98.141563416 21.124389801)
3714,0.0,0.0,1.0,245376,1668.73184082,2501.5,20.7977778011,12.8444444444,20.8083333333,20.9470857461,47.7555555556,17214.8527778,1.0,2.0,-97.504563416,19.066389801,13.0,Deserts and Xeric Shrublands,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-97.504563416 19.066389801)
3715,0.0,0.0,0.0,253772,1171.65071289,2000.33333333,26.7972222125,19.8310185185,26.8356481481,12.1679788033,56.2222222222,17289.162037,1.1875,2.03009259259,-97.749563416,17.596389801,3.0,Tropical and Subtropical Coniferous Forests,94257,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO,11343.0,Chaparral,POINT (-97.749563416 17.596389801)
3716,1.0,0.0,1.0,242436,1652.44130371,1514.44444444,22.7858332846,17.9472222222,22.8305555556,233.288962682,137.497222222,16230.9555556,1.58055555556,2.0,-96.867563416,19.654389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,70991,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-96.867563416 19.654389801)
3717,0.0,0.0,1.0,234620,1959.6345752,220.5,28.2937499329,23.1527777778,28.3518518519,221.884372446,129.743055556,17286.9143519,2.42361111111,2.0,-97.749563416,21.222389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,42818,PASTIZAL CULTIVADO,8172.0,Selva Alta Perennifolia,POINT (-97.749563416 21.222389801)
3718,0.0,0.0,1.0,241941,6496.05238281,1863.83333333,19.5567129475,15.1481481481,19.6018518519,46.014113903,124.895833333,16290.2314815,1.28472222222,2.0,-96.916563416,19.752389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,41632,PASTIZAL CULTIVADO,9518.0,Bosque Mesofilo de Montana,POINT (-96.916563416 19.752389801)
3719,0.0,0.0,1.0,236497,3536.32896484,1388.0,26.0780092787,19.5671296296,26.1273148148,25.6668330034,104.668981481,18301.7685185,1.56018518519,1.83101851852,-98.680563416,20.830389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,6470,BOSQUE MESÓFILO DE MONTAÑA,8369.0,Bosque Mesofilo de Montana,POINT (-98.680563416 20.830389801)
3720,0.0,0.0,1.0,252945,1262.51874023,2171.11111111,23.4047221873,16.7222222222,23.4388888889,13.3995087783,48.6472222222,17087.8722222,1.0,2.21111111111,-97.504563416,17.743389801,3.0,Tropical and Subtropical Coniferous Forests,68924,AGRICULTURA DE TEMPORAL ANUAL,11156.0,Agricultura de Temporal,POINT (-97.504563416 17.743389801)
3721,0.0,0.0,1.0,242398,5613.46633789,2562.11111111,22.4209999657,14.2066666667,22.4633333333,90.2754122416,48.51,18397.0866667,1.0,2.29333333333,-98.729563416,19.654389801,13.0,Deserts and Xeric Shrublands,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-98.729563416 19.654389801)
